File Name,Clip Directory,Duration TC,,,Resolution,Video Codec,Description,Comments,,Location,Category,,,,,Bit Depth,,,,EDL Clip Name,Camera Type,,,Camera Format,Camera FPS,,,,Sensor,,,,,,Aspect Ratio Notes
A032_C005_0916IW_001.R3D,,,,,5120 x 2160,r3d,"Healthy soft corals and sponges with tropical fish swarming around them with a white sandy bottom, Komodo National Park, Indonesia, Pacific Ocean",healthy-corals-barrel-sponges,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37
A032_C006_0916B8_001.R3D,,,,,5120 x 2160,r3d,"Moorish idols, Zanius cornutus, and anthias swim around red barrel sponges, Xestospongia muta, Komodo National Park, Indonesia, Pacific Ocean",moorish-idol-group-over-coralhead-barrel-sponges,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37
A032_C007_0916DG_001.R3D,,,,,5120 x 2160,r3d,"A white tip reef shark, Triaenodon obesus, sits under a ledge in the Komodo National Park, Indonesia, Pacific Ocean",white-tip-reef-shark-overhang-wide,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37
A032_C008_0916UY_001.R3D,,,,,5120 x 2160,r3d,"Close up view of a white tip reef shark, Triaenodon obesus, sitting under a ledge in the Komodo National Park, Indonesia, Pacific Ocean",white-tip-reef-shark-overhang-mid,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37
A032_C012_0916ZI_001.R3D,,,,,5120 x 2160,r3d,"Colourful soft corals on a coral head, camera pans up to reveal a canyon in the background, Komodo National Park, Indonesia, Pacific Ocean",Canyon-channel-komodo,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C013_0916YE_001.R3D,,,,,5120 x 2160,r3d,"Camera pans up to show colourful corals with a deep canyon filled with fish in the background, Komodo National Park, Indonesia, Pacific Ocean",Canyon-channel-komodo-corals,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C014_0916N2_001.R3D,,,,,5120 x 2160,r3d,"Camera pans to the right across colourful soft corals and a large underwater canyon, Komodo National Park, Indonesia, Pacific Ocean",Canyon-channel-komodo-pan,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C016_0916BO_001.R3D,,,,,5120 x 2160,r3d,"Several species of fish such as trevally and a white tip reef shark,Triaenodon obesus, are silhouetted while swimming in an underwater canyon. Komodo National Park, Indonesia, Pacific Ocean",white-tip-reef-shark-fish-above-canyon-komodo,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C015_09167P_001.R3D,,,,,5120 x 2160,r3d,"A small school of blue fin trevally, Caranx melampygus, swim close to the bottom of a rocky canyon, Komodo National Park, Indonesia, Pacific Ocean",blue-fin-trevallies-canyon-komodo,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C017_0916CO_001.R3D,,,,,5120 x 2700,r3d,"Bright pink anthias swim in the current on a reef slope covered in red sea fans, Komodo National Park, Indonesia, Pacific Ocean",anthias-healthy-reef-seafans,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1.09
A032_C021_0916B4_001.R3D,,,,,5120 x 2700,r3d,"Camera pushes through a school of pink anthias and over a healthy reef full of colourful soft corals, Komodo National Park, Indonesia, Pacific Ocean",angelfish-reef-anthias,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1.09
A032_C022_0916MB_001.R3D,,,,,5120 x 2700,r3d,"A mixed school of bigeye jacks, Caranx sexfasciatus and blue fin trevally, Caranx melampygus, swimming in a sandy channel, Komodo National Park, Indonesia, Pacific Ocean",bigeye-jackfish-school-reef-sand,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1.09
A032_C030_0916RK_001.R3D,,,,,5120 x 2160,r3d,"A large mixed school of blue and gold fusiliers, Caesio caerulaurea, and blue streak fusiliers, Pterocaesio tile, swimming right to left, Komodo National Park, Indonesia, Pacific Ocean",fusilliers-sideview-right-to-left,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A032_C032_091621_001.R3D,,,,,5120 x 2160,r3d,"Camera pushes forward over a large table coral, Acropora sp., branching corals and leather corals on a sandy bottom, Komodo National Park, Indonesia, Pacific Ocean",huge-acropora-tablecoral,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C033_0916GP_001.R3D,,,,,5120 x 2160,r3d,"Camera pushes up and over a healthy hard coral reef with a variety of species of coral and small tropical fish surrounded by a white sand bottom, Komodo National Park, Indonesia, Pacific Ocean",pristine-coralblock-acropora,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C034_0916MI_001.R3D,,,,,5120 x 2160,r3d,"Camera pushes up and over a coral head with healthy Acropora sp., table corals and branching corals and a variety of tropical fish, backlit by the sun, Komodo National Park, Indonesia, Pacific Ocean",big-table-corals-acropora,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C035_0916HL_001.R3D,,,,,5120 x 2160,r3d,"Healthy hard coral garden with anthias, surgeon and damsel fish swimming above the staghorn branching corals, Acropora sp., Komodo National Park, Indonesia, Pacific Ocean",healthy-diverse-reef-komodo,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C038_0916EG_001.R3D,,,,,5120 x 2160,r3d,"A reef manta ray, Mobula alfredi, cruises left to right through a healthy coral reef, Komodo National Park, Indonesia, Pacific Ocean",Reef-manta-cruising-left-to-right-komodo,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C041_0916ML_001.R3D,,,,,5120 x 2160,r3d,"A reef manta ray, Mobula alfredi, cruises from left to right over the corals of south Komodo Island as seen from above, Komodo National Park, Indonesia, Pacific Ocean",Reef-manta-cruising-left-to-right-from-above,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C044_0916DQ_001.R3D,,,,,5120 x 2160,r3d,"Camera pushes forward over a healthy hard and soft coral reef with a variety of damselfish, butterfly fish and anthias swimming in front of a red sea fan, Komodo National Park, Indonesia, Pacific Ocean",afternoon-light-coral-reef-komodo,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C045_09164T_001.R3D,,,,,5120 x 2160,r3d,"Healthy shallow coral reef in afternoon light with a variety of damselfish and anthias swimming in the water column, Komodo National Park, Indonesia, Pacific Ocean",afternoon-light-coral-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A032_C046_09166R_001.R3D,,,,,5120 x 2160,r3d,"Close up pushing past a red sea fan in afternoon light with tropical fish in the water column, Komodo National Park, Indonesia, Pacific Ocean",red-seafan-coral-reef-komodo,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C031_0915A2_001.R3D,,,,,5120 x 2160,r3d,"A small group of blackfin or chevron barracuda, Sphyraena qenie, swimming near the bottom, Komodo National Park, Indonesia, Pacific Ocean",barracuda-small-group-near-bottom-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A030_C006_0915PE_001.R3D,,,,,4800 x 2700,r3d,"A school of circular spadefish or batfish, Platax orbicularis, swim along a rubble bottom, Komodo National Park, Indonesia, Pacific Ocean",Batfish-spadefish-swimming_close_to_bottom,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,"0,095833333"
A030_C008_0915OM_001.R3D,,,,,4800 x 2700,r3d,"A school of pinnate spadefish or batfish, Platax pinnatus, grouped near a seafan on a coral reef, Komodo National Park, Indonesia, Pacific Ocean",batfish-spadefish-hanging-by-seafan,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,"0,095833333"
A030_C013_0915EE_001.R3D,,,,,4800 x 2700,r3d,"A small school of blue streak fusiliers, Pterocaesio tile, swim over a table coral, Acropora sp., Komodo National Park, Indonesia, Pacific Ocean", fusilliers-near-acropora,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,"0,095833333"
A030_C015_09154U_001.R3D,,,,,4800 x 2700,r3d,"Camera pushes through a school of blue streak fusiliers, Pterocaesio tile, swimming over a bare current swept bottom, Komodo National Park, Indonesia, Pacific Ocean",school-of-fusilliers-near-bottom,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,"0,095833333"
A030_C016_09154R_001.R3D,,,,,4800 x 2700,r3d,"Panning from right to left across a school of blue streak fusiliers, Pterocaesio tile, Komodo National Park, Indonesia, Pacific Ocean",school-of-fusilliers-near-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,"0,095833333"
A030_C037_0915C8_001.R3D,,,,,5120 x 2160,r3d,"Following a school of blackfin or chevron barracuda, Sphyraena genie, in the water column, Komodo National Park, Indonesia, Pacific Ocean",following-barracuda-group-from-behind,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C039_0915LN_001.R3D,,,,,5120 x 2160,r3d,"A school of blackfin or chevron barracuda, Sphyraena genie, with fusiliers and surgeonfish in the water column, Komodo National Park, Indonesia, Pacific Ocean",barracuda-group-swimming-upward,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C043_0915A9_001.R3D,,,,,5120 x 2160,r3d,"A school of blackfin or chevron barracuda, Sphyraena genie, in the blue water, Komodo National Park, Indonesia, Pacific Ocean",barracuda-group-blue-water-sideview-right-to-left,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C041_0915DQ_001.R3D,,,,,5120 x 2160,r3d,"A school of blackfin or chevron barracuda, Sphyraena genie, silhouetted against the surface, Komodo National Park, Indonesia, Pacific Ocean",compact-barracuda-group-blue-water,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C042_0915IH_001.R3D,,,,,5120 x 2160,r3d,"A school of blackfin or chevron barracuda, Sphyraena genie, swim in shallow blue water, Komodo National Park, Indonesia, Pacific Ocean",compact-barracuda-group-blue-water_front_view,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C045_09156T_001.R3D,,,,,5120 x 2160,r3d,"Camera pushes forward over a healthy stand of branching coral, Acropora sp., with resident anthias and damselfish, Komodo National Park, Indonesia, Pacific Ocean",small-anthias-over-coral-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C048_091548_001.R3D,,,,,5120 x 2160,r3d,"A healthy shallow coral reef full of branching Acropora corals, Komodo National Park, Indonesia, Pacific Ocean",swimming-over-healthy_acropora,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C049_09154F_001.R3D,,,,,5120 x 2160,r3d,"Anthias and damselfish hover above a large Acropora table coral, Komodo National Park, Indonesia, Pacific Ocean",acropora-small-fishes,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C051_0915ME_001.R3D,,,,,5120 x 2160,r3d,"Schools of tropical fish such as anthias and damselfish swarm the water column above a healthy reef of branching hard corals, Komodo National Park, Indonesia, Pacific Ocean",orbit-over-healthy-diverse-reef,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C058_09158G_001.R3D,,,,,5120 x 2160,r3d,"A reef manta ray, Mobula alfredi, swims past the camera showing its white belly with a remora attached, Komodo National Park, Indonesia, Pacific Ocean",manta-showing-belly,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
A030_C059_09157Z_001.R3D,,,,,5120 x 2160,r3d,"A reef manta ray, Mobula alfredi, swims in the blue water column, Komodo National Park, Indonesia, Pacific Ocean",manta-wingspan-from-above,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37
