File Name,Clip Directory,Duration TC,,,Resolution,Video Codec,Description,Comments,,Location,Category,,,,,Bit Depth,,,,EDL Clip Name,Camera Type,,,Camera Format,Camera FPS,,,,Sensor,,,,,,Aspect Ratio Notes,License Type,Pricing Tier
A032_C107_0917B5_V1-0072.mp4,,00:00:40:91,,,5120 x 2700,r3d,"A local boatbuilder with a cigarette in his mouth walks down a ladder from a boat he is building, Sangeang Island, Sumbawa, Indonesia. No MR",tight-shot-boat-builder-going-down-ladder,,"Sumbawa, Indonesia",Culture,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,,,,,,,1.09,Editorial,Standard
A030_C048_091548_001.R3D,,00:01:08:59,,,5120 x 2160,r3d,"A healthy shallow coral reef full of branching Acropora corals, Komodo National Park, Indonesia, Pacific Ocean",swimming-over-healthy_acropora,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2.37,Commercial,Premium
A033_C109_0919S5_001.R3D,,00:00:08:20,,,5120 x 2160,r3d,"Sunset over the waters of Komodo National Park with a traditional phinisi boat in the foreground, Komodo National Park, Indonesia, Pacific Ocean",sunset-komodo-boat-clouds,,"Komodo, Indonesia",Landscape,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37,Commercial,Standard
A032_C149_0918FB_001.R3D,,00:00:52:12,,,5120 x 2700,r3d,"Sun rays diffusing in shallow blue water, Komodo National Park, Indonesia, Pacific Ocean",sunrays-underwater-late-afternoon,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C149_0918FB_001.R3D,,00:00:52:12,,,5120 x 2700,r3d,"Diffused sun rays in shallow blue water, Komodo National Park, Indonesia, Pacific Ocean",Sunrays-underwater-afternoon-light,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A032_C149_0918FB_001.R3D,,00:00:52:12,,,5120 x 2700,r3d,"Shooting the sun rays diffusing in shallow blue water, Komodo National Park, Indonesia, Pacific Ocean",sunrays-underwater-afternoon,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Premium
A033_C111_0919KW_001.R3D,,00:00:46:48,,,5120 x 2160,r3d,"Sunset over the waters of Komodo National Park with a speedboat crossing in front of a traditional phinisi boat in the foreground, Komodo National Park, Indonesia, Pacific Ocean",speedboat-crossing-sunset-reflection-sea,,"Komodo, Indonesia",Landscape,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 4:1,59.94,,,,DSMC2 GEMINI 5K S35,,,,,,2:37,Commercial,Standard
A032_C124_0917D6_V1-0074.mp4,,00:00:58:09,,,5120 x 2160,r3d,"Sunlight from the setting sun shines and sparkles on the surface of the ocean, Sumbawa, Indonesia, Pacific Ocean",sparkling-light-reflecting-sea-surface,,"Sumbawa, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,120,,,,,,,,,,2.37,Commercial,Premium
A033_C050_0917DX_V1-0108.mp4,,00:00:43:58,,,5120 x 2700,r3d,"Parrotfish (Scarus tricolor), sea breams (Monotaxis heterodon), chromis and ribbon sweetlips (Plectorhinchus polytaenia) on a coral reef in Komodo National Park, Indonesia, Pacific Ocean",smallgroup-yellow-ribbon-sweetlips-and-fish-corals,,"Komodo, Indonesia",Underwater,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 5:1,59.94,,,,,,,,,,1.09,Commercial,Premium
A033_C081_0918B5_001.R3D,,00:01:50:04,,,5120 x 2700,r3d,"A small group of dolphins emerging from the water to breathe, Komodo National Park, Indonesia, Pacific Ocean",Small-group-dolphins-surfacing,,"Komodo, Indonesia",Marine Life,,,,,16,,,,,DSMC2 GEMINI 5K S35,,,REDcode 8:1,96,,,,DSMC2 GEMINI 5K S35,,,,,,1:09,Commercial,Standard
