# Paste these rows into Raja Stock Clips 3 Clips Metadata.csv (or Numbers master)
# File Name = R3D reel ID | Comments = URL slug | fill Description + Duration TC
# Then run: node ingest.js

File Name,Clip Directory,Duration TC,,,Resolution,Video Codec,Description,Comments,,Location,Category,,,,,Bit Depth,,,,EDL Clip Name,Camera Type,,,Camera Format,Camera FPS,,,,Sensor,,,,,,Aspect Ratio Notes
A032_C083_09176H_V2-0016_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C083 09176h V2 0016 — add species, behavior, and location description",a032-c083-09176h-v2-0016,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C085_0917CU_V2-0017_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C085 0917cu V2 0017 — add species, behavior, and location description",a032-c085-0917cu-v2-0017,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C089_0917AD_V2-0018_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C089 0917ad V2 0018 — add species, behavior, and location description",a032-c089-0917ad-v2-0018,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C090_0917VL_V2-0019_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C090 0917vl V2 0019 — add species, behavior, and location description",a032-c090-0917vl-v2-0019,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C092_09178I_V2-0020_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C092 09178i V2 0020 — add species, behavior, and location description",a032-c092-09178i-v2-0020,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C093_09177K_V2-0021_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C093 09177k V2 0021 — add species, behavior, and location description",a032-c093-09177k-v2-0021,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C094_09170N_V2-0022_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C094 09170n V2 0022 — add species, behavior, and location description",a032-c094-09170n-v2-0022,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C095_09179F_V2-0023_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C095 09179f V2 0023 — add species, behavior, and location description",a032-c095-09179f-v2-0023,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C096_09179B_V2-0024_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C096 09179b V2 0024 — add species, behavior, and location description",a032-c096-09179b-v2-0024,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C097_0917QR_V2-0025_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C097 0917qr V2 0025 — add species, behavior, and location description",a032-c097-0917qr-v2-0025,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C098_09171M_V2-0026_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C098 09171m V2 0026 — add species, behavior, and location description",a032-c098-09171m-v2-0026,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C099_0917MD_V2-0027_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C099 0917md V2 0027 — add species, behavior, and location description",a032-c099-0917md-v2-0027,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C101_0917C4_V2-0028_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C101 0917c4 V2 0028 — add species, behavior, and location description",a032-c101-0917c4-v2-0028,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C101_0917C4_V2-0029_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C101 0917c4 V2 0029 — add species, behavior, and location description",a032-c101-0917c4-v2-0029,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C103_0917EB_V2-0030_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C103 0917eb V2 0030 — add species, behavior, and location description",a032-c103-0917eb-v2-0030,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C104_09176D_V2-0031_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C104 09176d V2 0031 — add species, behavior, and location description",a032-c104-09176d-v2-0031,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C105_0917PS_V2-0032_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C105 0917ps V2 0032 — add species, behavior, and location description",a032-c105-0917ps-v2-0032,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C105_0917PS_V2-0033_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C105 0917ps V2 0033 — add species, behavior, and location description",a032-c105-0917ps-v2-0033,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C106_0917GR_V1-0070_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C106 0917gr V1 0070 — add species, behavior, and location description",a032-c106-0917gr-v1-0070,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C106_0917GR_V1-0071_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C106 0917gr V1 0071 — add species, behavior, and location description",a032-c106-0917gr-v1-0071,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C107_0917B5_V1-0072_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C107 0917b5 V1 0072 — add species, behavior, and location description",a032-c107-0917b5-v1-0072,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C108_091766_V1-0073_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C108 091766 V1 0073 — add species, behavior, and location description",a032-c108-091766-v1-0073,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C124_0917D6_V1-0074_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C124 0917d6 V1 0074 — add species, behavior, and location description",a032-c124-0917d6-v1-0074,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C135_0917XI_V1-0076_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C135 0917xi V1 0076 — add species, behavior, and location description",a032-c135-0917xi-v1-0076,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
A032_C136_0917ME_V1-0075_001.R3D,,,,,5120 x 2700,r3d,"[TODO] A032 C136 0917me V1 0075 — add species, behavior, and location description",a032-c136-0917me-v1-0075,,"Raja Ampat, Indonesia",Underwater,,,,,16,,,,,V-RAPTOR 8K VV,,,MQ,32,,,,V-RAPTOR VV,,,,,,1.9
