File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Pricing Tier,Rating,Description,Comments Title,Keywords,Date Recorded,Reel Number,Location,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,Input Gamma,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Lens Type,Camera Aperture,Focal Point (mm),Distance,Aspect Ratio Notes,H-Flip,V-Flip,License,Category
A044_D015_0222OY_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D015_0222OY.RDC,00:00:20:17,23.976,0,7680 x 4320,r3d,Premium,4,"Swimming toward the blue hole of Batu Rufus dive site with colourful seafans and tropical fish in the foreground, Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Red Seafans and Blue Hole,,20260222 104139,44,Raja Ampat,18:15:10:07,18:15:31:00,0,496,497,16,Progressive,Auto,Tue Aug 18 19:39:08 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,160,24,620,1.78,FALSE,FALSE,Commercial,Underwater
A044_D016_02225H_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D016_02225H.RDC,00:00:09:01,23.976,0,7680 x 4320,r3d,Premium,4,"A red seafan with sunrays streaming through shallow water, Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Shallow Seafan and Sunrays,,20260222 104244,44,Raja Ampat,18:16:04:08,18:16:13:09,0,216,217,16,Progressive,Auto,Tue Aug 18 19:39:17 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,160,24,640,1.78,FALSE,FALSE,Commercial,Underwater
A044_D018_02221M_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D018_02221M.RDC,00:00:14:14,23.976,0,7680 x 4320,r3d,Premium,4,"Soft corals and yellowtail fusiliers, Caesio cuning,  Raja Ampat, Southwest Papua, Indonesia, Pacific Ocean",Soft Coral Shallow Reef,,20260222 104826,44,Raja Ampat,18:21:32:00,18:21:46:14,0,349,350,16,Progressive,Auto,Tue Aug 18 19:39:49 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,640,1.78,FALSE,FALSE,Commercial,Underwater
A044_D018_02221M_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D018_02221M_S000.RDC,00:00:11:17,23.976,0,7680 x 4320,r3d,Premium,4,"Yellow tail fusiliers, Caesio cuning, swim around a shallow coral reef with a giant barrel sponge, Xestospongia testudinaria, and a variety of leather corals, Raja Ampat, South West Papua, Indonesia, Pacific Ocean ",Fusiliers and Shallow Coral Reef,,20260222 104826,44,Raja Ampat,18:21:46:13,18:21:58:06,0,280,281,16,Progressive,Auto,Tue Aug 18 19:45:22 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,640,1.78,FALSE,FALSE,Commercial,Underwater
A044_D020_0222FW_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D020_0222FW.RDC,00:00:09:02,23.976,0,7680 x 4320,r3d,Premium,4,"Giant barrel sponge, Xestospongia testudinaria, and a variety of leather corals, in the shallow waters of Raja Ampat, South West Papua, Indonesia, Pacific Ocean",Barrel Sponge and Leather Corals,,20260222 104926,44,Raja Ampat,18:22:36:03,18:22:45:05,0,217,218,16,Progressive,Auto,Tue Aug 18 19:39:54 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,640,1.78,FALSE,FALSE,Commercial,Underwater
A044_D022_02225Y_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D022_02225Y.RDC,00:00:15:20,23.976,0,7680 x 4320,r3d,Premium,4,"Clouds of blue-green chromis, Chromis viridis, swim above a large patch of healthy cabbage coral, Turbinaria sp, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Blue Green Chromis and Cabbage Coral,,20260222 105048,44,Raja Ampat,18:24:10:21,18:24:26:17,0,379,380,16,Progressive,Auto,Tue Aug 18 19:40:03 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,640,1.78,FALSE,FALSE,"Commercial
",Underwater
A044_D023_02227W_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D023_02227W.RDC,00:00:15:00,23.976,0,7680 x 4320,r3d,Premium,5,"Large schools of blue-green chromis, Chromis viridis, swim above a large patch of healthy cabbage coral, Turbinaria sp, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Schooling Blue Green Chromis and Cabbage Coral,,20260222 105217,44,Raja Ampat,18:25:31:22,18:25:46:22,0,359,360,16,Progressive,Auto,Tue Aug 18 19:45:36 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,500,1.78,FALSE,FALSE,Commercial,Underwater
A044_D023_02227W_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D023_02227W_S000.RDC,00:00:21:02,23.976,0,7680 x 4320,r3d,Premium,5,"Schools of blue-green chromis, Chromis viridis, swim above a large patch of healthy cabbage coral, Turbinaria sp, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Blue-Green Chromis and Cabbage Coral,,20260222 105217,44,Raja Ampat,18:26:07:19,18:26:28:21,0,505,506,16,Progressive,Auto,Tue Aug 18 19:45:47 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,500,1.78,FALSE,FALSE,Commercial,Underwater
A044_D023_02227W_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D023_02227W_S001.RDC,00:00:10:06,23.976,0,7680 x 4320,r3d,Premium,4,"Schools of Chromis viridis, swim above a large patch of healthy cabbage coral, Turbinaria sp, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Cabbage Coral Patch and Chromis,,20260222 105217,44,Raja Ampat,18:26:28:20,18:26:39:02,0,245,246,16,Progressive,Auto,Tue Aug 18 19:46:04 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,140,24,500,1.78,FALSE,FALSE,Commercial,Underwater
A044_D024_0222AV_001.R3D,/Volumes/RAJA_AMPAT_FEB_2026_3A/RAJA_AMPAT_RED_RAPTOR_LV_22-02-202614_1/A044_0222HA.RDM/A044_D024_0222AV.RDC,00:00:19:05,23.976,0,7680 x 4320,r3d,Premium,4,"Moving over schools of blue-green chromis, Chromis viridis, swim above a large patch of healthy cabbage coral, Turbinaria sp, Raja Ampat, South West Papua, Indonesia, Pacific Ocean
",Pushing Over Chromis and Cabbage Coral,,20260222 105431,44,Raja Ampat,18:29:31:12,18:29:50:17,0,460,461,16,Progressive,Auto,Tue Aug 18 19:40:12 2026,Gamma 2.4,V-RAPTOR 8K VV,VRPB1006456,A,MQ,32,180,1600,9100,V-RAPTOR VV,"1.5.4, 36176123",Canon,130,24,400,1.78,FALSE,FALSE,Commercial,Underwater
