File Name,Duration TC,Resolution,Video Codec,Title,Description,Shot,Scene,Start TC,End TC,Camera Type,Camera Format,Camera FPS,Shutter Angle,Aspect Ratio Notes,,
A003_A154_0410PN_001.R3D,00:02:31:19,5120 x 2700,r3d,Whaleshark swimming towards the blue,"Looking down at a whale shark, Rhincodon typus, as it swims down into the deep, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,07:20:34:10,07:23:06:04,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A155_0410AR_001.R3D,00:01:35:08,5120 x 2700,r3d,Overhead pass of whaleshark with remora,"A whale shark, Rhincodon typus, with many remoras, Echeneis naucrates, passes overhead with a second whale shark feeding under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,07:22:23:11,07:23:58:19,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A160_04107G_001.R3D,00:00:27:24,5120 x 2700,r3d,Whalesharks crossing each other,"Three whale sharks, Rhincodon typus, feeding under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,07:29:23:16,07:29:51:15,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A162_04108G_001.R3D,00:00:32:16,5120 x 2700,r3d,Whaleshark swimming towards camera and clear frame,"A whale shark, Rhincodon typus, swims under the camera showing off the unique spots on its back, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,07:31:10:16,07:31:43:07,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A073_04111R_001.R3D,00:01:54:18,5120 x 2700,r3d,Whaleshark eating on the surface vertical position,"A whale shark, Rhincodon typus,  feeds vertically in the water column on small fish thrown by fishermen on a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:42:15:10,06:44:10:03,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A074_0411EE_001.R3D,00:00:44:01,5120 x 2700,r3d,Whaleshark close up of mouth opening and inhaling water ,"Close up of a whale shark, Rhincodon typus, suction feeding showing the water going into its mouth under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:43:23:09,06:44:07:10,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A075_0411AX_001.R3D,00:01:03:15,5120 x 2700,r3d,Whaleshark face close up ,"A whale shark, Rhincodon typus, opens its mouth in front of the camera while swimming under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:43:57:09,06:45:00:24,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A076_0411VP_001.R3D,00:00:57:05,5120 x 2700,r3d,Whaleshark vertical close to the fishing nets view from behind,"Camera pans up from the fins along the back of a whale shark, Rhincodon typus, vertically feeding in the water under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:45:37:14,06:46:34:19,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A077_0411SG_001.R3D,00:00:42:21,5120 x 2700,r3d,Side view whaleshark swimming next to fishing platform ,"A whale shark, Rhincodon typus, swims under a small boat with its left side to the camera toward a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:46:40:05,06:47:23:01,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A081_0411LK_001.R3D,00:00:37:06,5120 x 2700,r3d,Whaleshark swimming toward and clearing camera frame,"A whale shark, Rhincodon typus, swimming in the open water column under the camera, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:49:48:14,06:50:25:20,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A084_041162_001.R3D,00:00:30:01,5120 x 2700,r3d,Whaleshark entering frame in clear blue water view from above straight down,"Looking down on a whale shark, Rhincodon typus, swimming away from the camera , Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:54:18:17,06:54:48:18,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A088_0411IS_001.R3D,00:00:34:07,5120 x 2700,r3d,Whaleshark swimming toward camera with boat propeller in view,"A whale shark, Rhincodon typus, swims toward the camera underneath a small boat in Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:57:14:18,06:57:49:00,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A075_0411AX_001.R3D,00:02:06:01,5120 x 2700,r3d,Whaleshark eating by fishing nets,"A whale shark, Rhincodon typus, opens its mouth in front of the camera while swimming under a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,06:45:00:23,06:47:06:24,DSMC2 GEMINI 5K S35,REDcode 5:1,50,180,1.09,Natural History,Underwater
A003_A036_0411Z5_001.R3D,00:00:39:14,5120 x 2700,r3d,Surface view of whaleshark swimming next to fishing platform bagan,"Looking down from a boat at a whale shark, Rhincodon typus, feeding at the surface beside a bagan, a traditional Indonesian drop net fishing boat, Cendrawasih Bay, Papua Province, Indonesia, Pacific Ocean ",Premium,Commercial,,,DSMC2 GEMINI 5K S36,REDcode 5:2,50,180,1.09,Natural History,Terrestrial
" """,Premium,3,03:27:34:08,0,988,989,16,Thu Apr 22 11:44:44 2021,,"04.01,2",23,1800,1.09,,,
